dishwasher,disposal,kitchen,kitchen_2,light,microwave,refrigerator,stove,washer_dryer
0.06666666666666667,0.0,0.4666666666666667,3.533333333333333,8.0,4.0,6.266666666666667,0.8,4.733333333333333
0.125,0.0,0.25,3.1875,8.0,4.1875,6.4375,0.75,4.5
0.06666666666666667,0.0,0.26666666666666666,3.4,8.0,4.066666666666666,6.466666666666667,0.9333333333333333,4.866666666666666
0.0625,0.0,0.4375,3.375,8.0,4.125,6.3125,0.8125,4.6875
0.125,0.0,0.25,3.25,8.0,4.1875,6.25,0.8125,4.6875
0.125,0.0,0.25,3.5625,8.4375,4.4375,84.625,0.4375,4.375
0.125,0.0,0.0,3.6875,8.9375,4.9375,178.8125,0.0625,4.5
0.0,0.0,0.0,3.5625,9.0,4.9375,170.1875,0.0,4.4375
0.0,0.0,0.0,3.5625,8.875,4.9375,167.9375,0.1875,4.3125
0.0625,0.0,0.0,3.625,8.8125,4.875,166.3125,0.1875,4.3125
0.125,0.0,0.0,3.8125,9.0,4.75,165.625,0.125,4.375
0.0,0.0,0.0,3.6,8.8,4.866666666666666,164.13333333333333,0.0,4.333333333333333
0.125,0.0,0.0,3.625,8.9375,4.9375,163.8125,0.0625,4.5
0.125,0.0,0.0,3.6875,9.0,4.8125,162.3125,0.25,4.1875
0.0,0.0,0.0,3.6470588235294117,8.941176470588236,4.705882352941177,162.0,0.11764705882352941,4.529411764705882
0.06666666666666667,0.0,0.0,3.466666666666667,8.866666666666667,4.8,161.4,0.3333333333333333,4.333333333333333
0.125,0.0,0.0,3.6875,8.9375,4.875,160.875,0.125,4.3125
0.0625,0.0,0.0,3.5,8.9375,4.9375,160.125,0.0,4.0625
0.0625,0.0,0.0,3.6875,8.75,5.0,159.375,0.0,4.4375
0.0,0.0,0.0,3.6875,9.0,5.0,159.3125,0.125,4.5625
0.0,0.0,0.0,3.625,8.8125,4.875,158.75,0.3125,4.625
0.0625,0.0,0.0,3.4375,8.9375,4.9375,159.1875,0.125,4.3125
0.0,0.0,0.0,3.5,8.8125,5.0,158.75,0.375,4.1875
0.0625,0.0,0.0,3.625,8.6875,5.0,158.5625,0.0625,4.3125
0.125,0.0,0.0,3.5,8.9375,5.0,157.625,0.25,4.3125
0.0625,0.0,0.4375,3.5,8.4375,4.5,82.4375,0.5625,4.125
0.06666666666666667,0.0,0.4666666666666667,3.3333333333333335,8.0,4.2,6.2,0.8666666666666667,4.266666666666667
0.125,0.0,0.5625,3.375,8.0,4.0625,6.1875,0.9375,4.3125
0.125,0.0,0.125,3.375,8.0,4.0625,6.625,0.9375,4.1875
0.0625,0.0,0.25,3.375,8.0,4.125,6.75,0.9375,4.375
0.0,0.0,0.5,3.3125,8.0,4.375,6.4375,1.0,4.5625
0.1875,0.0,0.1875,3.1875,8.0,4.1875,6.4375,0.75,4.4375
0.125,0.0,0.375,3.375,8.0,4.125,6.625,0.9375,4.6875
0.125,0.0,0.5625,3.25,8.0,4.0625,6.375,1.0,4.1875
0.0625,0.0,0.5625,3.3125,8.0,4.0,6.625,0.875,4.125
0.0,0.0,0.25,3.25,8.0,4.125,6.375,0.9375,4.3125
0.0625,0.0,0.6875,3.3125,8.0,4.125,6.375,0.8125,4.375
0.0625,0.0,0.375,3.25,8.0,4.1875,6.625,1.0,4.625
0.0,0.0,0.13333333333333333,3.2,8.0,4.133333333333334,6.733333333333333,1.0,4.6
0.0,0.0,0.4375,3.1875,8.0,4.1875,6.5625,1.0,4.3125
0.0625,0.0,0.375,3.5,8.0,4.25,6.4375,1.0,4.5625
0.0625,0.0,0.375,3.1875,8.0,4.125,6.5,0.875,4.25
